"	""ID""	""Area""	""Group""	""a1""	""b1""	""c1""	""d1""	""a2""	""b2""	""c2""	""d2""	""a3""	""b3""	""c3""	""d3""	""a4""	""b4""	""c4""	""d4""	""a5""	""b5""	""c5""	""d5""	""a6""	""b6""	""c6""	""d6""	""a7""	""b7""	""c7""	""d7""	""a8""	""b8""	""c8""	""d8""	""a9""	""b9""	""c9""	""d9""	""a10""	""b10""	""c10""	""d10""	""a11""	""b11""	""c11""	""d11""	""a12""	""b12""	""c12""	""d12""	""a13""	""b13""	""c13""	""d13""	""a14""	""b14""	""c14""	""d14""	""a15""	""b15""	""c15""	""d15""	""a16""	""b16""	""c16""	""d16""	""a17""	""b17""	""c17""	""d17""	""a18""	""b18""	""c18""	""d18""	""a19""	""b19""	""c19""	""d19""	""a20""	""b20""	""c20""	""d20""	""a21""	""b21""	""c21""	""d21""	""a22""	""b22""	""c22""	""d22""	""a23""	""b23""	""c23""	""d23""	""a24""	""b24""	""c24""	""d24""	""a25""	""b25""	""c25""	""d25""	""a26""	""b26""	""c26""	""d26""	""a27""	""b27""	""c27""	""d27""	""a28""	""b28""	""c28""	""d28""	""a29""	""b29""	""c29""	""d29""	""a30""	""b30""	""c30""	""d30""	""a31""	""b31""	""c31""	""d31""	""a32""	""b32""	""c32""	""d32""	""a33""	""b33""	""c33""	""d33""	""a34""	""b34""	""c34""	""d34""	""a35""	""b35""	""c35""	""d35""	""a36""	""b36""	""c36""	""d36""	""a37""	""b37""	""c37""	""d37""	""a38""	""b38""	""c38""	""d38""	""a39""	""b39""	""c39""	""d39""	""a40""	""b40""	""c40""	""d40""	""a41""	""b41""	""c41""	""d41""	""a42""	""b42""	""c42""	""d42""	""a43""	""b43""	""c43""	""d43""	""a44""	""b44""	""c44""	""d44""	""a45""	""b45""	""c45""	""d45""	""a46""	""b46""	""c46""	""d46""	""a47""	""b47""	""c47""	""d47""	""a48""	""b48""	""c48""	""d48""	""a49""	""b49""	""c49""	""d49""	""a50""	""b50""	""c50""	""d50"""
"34	""IN 6-8641 uldm1_bw.txt""	6.71892	""R""	0.61576	0	0	0.51654	-0.00801	0.00239	-0.00158	0.00782	0.01971	0.01356	0.01518	0.00893	0.00011	0.00352	0.00413	-0.00972	0.00699	0.01128	-0.00647	-0.00084	0.00136	0.00337	-0.00134	0.00445	0.00551	0.00194	-0.00428	0.00063	-0.00014	0.00128	0.00036	-0.00189	0.00192	-0.00129	-0.00053	0.00205	0.00028	0.00104	-0.00065	0.00016	-0.00016	-0.0008	-0.00015	0.00077	-0.00022	0.00063	-0.00006	0.00016	-0.00057	-0.0003	0.00046	0.00022	0.00005	0.00019	-0.0007	-0.00044	-0.00048	0.00007	0.00023	0.00012	0.00033	-0.00012	0.00003	-0.00012	-0.00059	0.00012	0.00013	0.00022	0.00026	-0.00012	0.00005	0.00008	-0.0004	0.00023	0.00019	-0.00057	-0.00002	0.00002	0.00003	0.00027	0.00001	0.00023	-0.00005	-0.00008	0.00001	0.00021	0.00014	-0.00017	-0.00002	-0.00002	-0.00024	0.00003	0.00007	0.00015	-0.00013	0.00002	-0.00004	-0.00019	-0.00016	-0.00013	0.00003	0.00005	-0.00002	0.00009	0.00016	-0.00009	0.00014	-0.00016	0	0.00001	-0.00004	-0.00006	0.00015	-0.00008	-0.00015	0.00015	0.00002	-0.00004	-0.00008	0.00003	0.00002	-0.00011	0.00009	0.00012	0.00007	-0.00007	0.00008	-0.00007	-0.00008	-0.00004	-0.00001	0.00002	0	-0.00004	-0.00008	0.00011	-0.00003	-0.00005	-0.00003	-0.00005	-0.00003	0.00003	0.00017	-0.00005	0.00001	-0.00005	0.00004	0	0.00006	0.00012	-0.00004	-0.0001	0.00003	-0.00002	0.00002	-0.00004	0.00012	0.00005	-0.00003	0	0.00004	-0.00001	0.00001	-0.00001	0.00003	0.00003	0.00001	0.00004	0.00005	0.00001	-0.00002	-0.00001	0.00001	0.00006	-0.00002	-0.00003	0.00006	0.00001	0.00001	-0.00001	0.00006	0.00002	-0.00006	0	0.00004	0.00001	0	0.00004	0.00005	-0.00003	-0.00002	0.00002	-0.00004	0.00001	0	0.00006	-0.00001	-0.00003	0.00001	0.00007"
"35	""IN 6-8642 lrdm1 flipped_bw.txt""	6.71557	""R""	0.61743	0	0	0.51452	-0.00039	0.00133	-0.00249	0.00138	0.01721	0.01056	0.01659	0.01641	0.00118	0.00049	0.00081	-0.00406	-0.00206	0.01087	-0.00531	0.00523	0.00273	0.00091	0.00025	0.00091	0.00032	0.00344	-0.00203	-0.00635	0.00092	-0.00033	-0.00186	0.00107	0.00158	0.001	-0.00091	0.00244	0.00089	-0.00109	0.00027	-0.00095	-0.0005	-0.00009	0	-0.00002	0.0005	-0.00064	-0.0002	0.0009	-0.0001	0.00021	0.00012	-0.00041	-0.00002	-0.00077	-0.00013	0	-0.00025	0.00024	-0.00012	0.00032	0.00004	-0.00019	0.00047	0.00012	-0.00008	-0.00006	-0.0002	-0.00016	-0.00008	-0.00003	-0.00013	0.00013	0.00004	-0.00009	0.00014	-0.00003	-0.00009	-0.00018	-0.00013	0.0001	0.00001	-0.00018	-0.00013	-0.00005	-0.00013	-0.00015	0.00011	-0.00003	-0.00003	-0.00008	0.00027	0.00017	-0.00013	-0.00006	0.00003	0.00004	-0.00016	0.00009	-0.00001	0.00002	0.00001	-0.00002	-0.00003	-0.00014	-0.00006	-0.00004	-0.00012	-0.00004	0.00011	-0.00004	0.00002	0.00001	-0.00006	-0.00012	-0.00001	0.00001	0.0001	-0.00002	0.00002	-0.00001	-0.00006	-0.00013	0.00004	0	0.00006	0.00001	0.00003	0.00003	-0.00004	-0.00005	0.00004	-0.00002	0.00001	0.00006	0.00003	0.00004	0	-0.00002	0	-0.00002	-0.00002	0.00003	-0.00007	0.00003	0.00002	0	0.00001	0.00004	-0.00006	0	0.00003	0.00002	0.00003	-0.00005	-0.00008	-0.00003	-0.00005	0	-0.00002	-0.00001	0.00004	-0.00003	0.0001	0.00001	-0.00004	-0.00003	-0.00002	0	0.00002	0.00001	-0.00005	-0.00001	-0.00004	-0.00006	-0.00002	0	0	-0.00001	0.00003	0.00006	-0.00005	-0.00002	0.00008	0.00002	0	0.00004	0.00002	-0.00005	-0.00001	-0.00001	-0.00006	-0.00006	0.00001	0	-0.00007	0.00003	0.00001	-0.00004	0.00001	0.00005"
"36	""IN 6-9093 lldm1_bw.txt""	6.44313	""R""	0.6237	0	0	0.50926	-0.00745	-0.00502	-0.0095	0.0117	0.01983	0.012	0.01793	0.01776	-0.00693	-0.00128	0.00692	-0.00165	0.00097	0.00812	-0.01039	0.00257	-0.00298	0.00242	-0.00042	-0.00132	0.00105	0.00103	-0.00017	-0.00255	-0.0002	0.00062	-0.00036	-0.00127	0.00123	0.00088	0.00004	0.00056	-0.0001	0.00054	0.00048	0.00058	0.0006	0.00029	-0.0005	0.00048	-0.00022	0.00041	-0.00015	-0.00047	0.00026	0.00003	-0.00018	-0.00019	0.00014	0.00036	0.00007	-0.00018	0.00033	-0.00003	0.00002	0.00005	0.00012	0.00021	-0.00006	0.00001	0.00017	-0.00014	-0.00024	0.00015	0.00001	0.00003	-0.00021	0.00014	0.00024	-0.00017	0.00009	-0.00023	0.00001	-0.00004	0.00002	-0.00021	0.00023	-0.00002	0.0001	0.00016	0.00007	0.00002	0.00001	0.00001	0.00005	0.00003	-0.00001	0.00014	0.00006	-0.00002	-0.00004	0.00005	-0.00001	0.00005	0.00001	0.00001	0.00001	-0.00007	-0.00008	-0.00002	-0.00004	-0.00004	-0.00014	0.00004	0.00005	-0.00006	0.00006	-0.00005	-0.00002	-0.00011	0.00005	-0.00004	0.00009	-0.00007	-0.00008	0	-0.00002	-0.00004	0.00005	0.00001	0.00008	-0.00007	0.00003	0.00001	-0.00001	-0.00001	0.00003	0.00001	0.00003	0	0.00004	0	-0.0001	0.00001	-0.00003	0.00008	0.00002	0.00007	0.00002	0.00005	-0.00007	0.00003	0.00006	-0.00009	0.00004	0.00005	-0.00003	-0.00006	0.00002	0.00005	-0.00006	-0.00006	0.00005	0.00003	0	0.00006	0.0001	-0.00001	0.00001	-0.00006	0	0	-0.00002	0	0.00005	0	0.00001	0.00008	-0.00001	0.00003	0.00006	0.00002	0.00001	0.00003	0	-0.00002	-0.00005	0.00007	0.00004	0.00002	0.00003	0.00002	-0.00005	-0.00005	-0.00005	0.00007	-0.00006	-0.00002	0.00003	0.00001	0.00004	0.00004	-0.00002	0.00001	-0.00001	-0.00002"
"37	""IN 6-9773 lldm1 corrected_bw.txt""	7.11432	""R""	0.60152	0	0	0.52926	-0.01827	-0.00387	-0.01025	0.02133	0.0077	0.00633	0.00634	0.01828	-0.00894	0.00024	0.00798	-0.01065	-0.00254	0.00371	-0.00348	-0.00289	-0.00057	0.00257	-0.00218	-0.00014	0.00051	0.00067	-0.00119	-0.00016	0.00061	0.00123	0.00105	-0.00027	0.00022	-0.00071	0.00026	0.00065	0.0009	0.00088	-0.0006	-0.00054	-0.00026	-0.0001	0.0004	-0.00026	0.00022	0.00013	-0.00022	0.00086	-0.00007	-0.00015	-0.00039	0.00001	-0.00032	0.00019	0.00016	-0.00014	-0.00011	-0.00024	0.00021	0.00002	0.00001	0.00039	0.00017	-0.0003	-0.0001	-0.00007	-0.00006	0.00001	0.00016	0.00025	-0.00033	0.00009	-0.00004	-0.00005	0.0001	-0.00001	0.0001	-0.00009	-0.00004	0.00002	0.00004	-0.00004	0	-0.00012	-0.00004	-0.00006	0.00007	0.00006	0.00008	-0.00005	-0.00006	0.00005	0.00001	0.0001	0.0001	-0.0001	0	-0.00003	0.00006	0.00006	0.0001	0.00011	-0.00007	-0.00004	-0.00004	0.00005	0.00003	0.00001	0.00006	0.00005	0	0.00006	-0.00002	0.00008	0.00001	-0.00004	-0.00001	0.00003	-0.00002	0.00004	0.00001	0.00008	0.00004	-0.00002	0	-0.00002	-0.00005	-0.00007	-0.00007	0.00009	0	0.00005	-0.00005	-0.00003	0.00001	0.00011	-0.00011	0.00009	0	0.00002	-0.00005	0	0.00003	-0.00008	-0.0001	0.00007	0.00001	-0.00005	0.00002	-0.00002	-0.00005	0	0	0.00002	-0.00006	-0.00004	0.00003	-0.00005	0.00002	0	0.00004	0	0.00004	-0.00004	-0.00002	0	0.00005	0.00007	0.00004	0.00004	0	0.00001	-0.00008	0.00003	-0.00001	0.00001	0	-0.00001	-0.00005	0.00002	-0.00005	-0.00001	-0.00003	-0.00004	0	-0.00001	0.00004	-0.00001	-0.00001	-0.00002	0.00003	0	0.00002	0.00001	0	-0.00001	0	0	-0.00001	-0.00002"
"38	""Ist 1950-5-1 lrdm1 O1 corrected flipped_bw.txt""	6.81993	""U""	0.63842	0	0	0.49693	0.00048	0.00223	0.00616	-0.00054	0.02426	0.00916	0.01296	0.01769	-0.00322	0.00382	0.00306	0.00442	0.00648	0.00778	-0.00391	-0.00097	-0.00436	0.00331	-0.00057	-0.00073	0.00323	0.00186	-0.00197	0.00311	-0.00143	0.00275	0.00107	-0.00308	-0.00091	0.00062	0.00063	0.00255	0.00037	0.00178	-0.00113	-0.00007	-0.00249	0.00118	0.00021	0.00065	0.0006	0.00054	-0.00011	-0.00046	-0.00134	0.00027	-0.00134	-0.00133	-0.00019	0.00005	-0.00068	0.0011	-0.00012	-0.00065	0.00012	-0.00065	-0.00084	-0.00017	0	0.00021	-0.00014	-0.0005	0.00023	0.00007	-0.00039	-0.00014	0.00002	-0.00065	0.00004	-0.00001	0.00037	-0.00044	0.00005	-0.00011	0.00011	0.00005	0.00034	0.00011	-0.00015	0.00001	0.00008	-0.0001	0.00004	-0.0002	0.00028	-0.00012	-0.00007	0.00022	0.0002	-0.00004	0.00008	-0.00005	0.00011	-0.00011	0.00007	0.00003	0.00012	-0.00002	-0.00005	0.0002	0.00013	0.00001	-0.00003	-0.00003	0	-0.00003	0.00003	-0.00001	0.00021	-0.00001	-0.00003	-0.00004	-0.00006	0.00001	-0.00001	0.00013	0.0001	0.00004	0.00013	0.00015	-0.00008	0.00002	-0.00005	-0.00002	-0.00009	0.00007	-0.0001	0.00011	0.00001	-0.00001	-0.00002	-0.00011	-0.00007	0.00005	-0.00003	-0.00014	0.00005	-0.00003	-0.00001	0.00001	0.00003	0.00005	0.00002	0.00003	-0.00001	-0.00002	0.00002	0	0.00004	0	-0.00001	-0.00002	-0.00001	0	-0.00002	0.00004	-0.00008	0	-0.00001	0.00014	0.00005	-0.00003	-0.00006	-0.00013	-0.00013	0.00004	0.00004	-0.00004	0.00007	-0.00004	0.00005	0.0001	-0.00002	0.00005	-0.00001	-0.00012	0.00003	-0.00002	-0.00001	-0.00004	0.00003	-0.00003	-0.00008	0.00004	0.00004	-0.00002	0	0	0	-0.00007	-0.00001	-0.00002	0.00001	0	0.00003	0.00006"
"39	""Ist III 1950-7 lrdm1 O flipped_bw.txt""	7.01647	""U""	0.61462	0	0	0.51698	0.00426	-0.0078	-0.01141	-0.00728	0.01319	0.00276	0.0024	0.0191	-0.00112	-0.00315	0.00705	0.00788	-0.00231	0.00309	-0.00056	0.00049	-0.00512	0.0001	-0.00149	0.00125	-0.00176	0.00188	-0.00003	0.00021	-0.00396	0.00139	0.00291	-0.00059	-0.00084	0.00113	-0.00075	-0.00078	-0.00098	0.00157	-0.00163	-0.00268	-0.00022	-0.00019	-0.0008	-0.00028	0.0007	0.00038	0.00009	0.00016	0.00024	-0.00024	0.00036	0.00002	0.00048	0.00045	0.00043	0.00027	-0.0004	-0.00008	0.00032	0.00096	0.00047	0.0002	-0.00051	-0.00036	-0.00075	-0.00013	-0.00014	-0.00012	0.00021	-0.0002	0.00007	0.00059	-0.00042	-0.00009	0.00022	-0.00035	-0.00008	-0.00027	-0.0003	-0.00028	-0.00036	0.00007	0.00017	0.00021	0.00014	-0.00048	-0.00018	-0.00001	-0.00044	0.00024	0.00002	-0.00002	0.00007	-0.00049	0.00007	0.00019	-0.00028	0.00004	-0.00016	-0.00019	0.00011	-0.00022	0.00019	-0.00016	-0.00006	-0.00002	0.00004	-0.00009	0.00012	-0.00009	-0.00006	0.00018	0.00009	-0.00001	-0.00002	-0.00016	0.00007	-0.00004	0.0001	-0.00003	0.00009	0.00002	0.00005	0.00017	0.00011	0.00002	0.00003	0.00002	0	0.00011	0.00005	-0.00005	0.00002	-0.00001	-0.00004	0.0001	0.00001	0.00007	-0.00009	0.00001	-0.00003	-0.00005	0	-0.00008	0.00003	0.00007	0.00004	-0.00006	-0.00002	-0.00009	-0.00007	0.00004	0.00001	0.00008	0	0.00009	-0.00009	-0.00005	0.0001	0.00002	-0.00001	0.00003	-0.00001	-0.00002	-0.00007	0.00008	0.00007	-0.00001	-0.00009	-0.00001	-0.00002	0.00009	0.00003	0.00002	-0.00014	-0.00013	-0.00008	-0.00002	0.00003	-0.00008	0.00007	-0.00006	-0.00001	0.00009	-0.00005	0.00001	-0.00001	0.00003	0.00002	-0.00006	-0.00001	-0.00001	-0.00003	0.00001	0.00004	-0.00003	0	-0.00006	0.00002	0.00004"
"40	""IT 1105 lrdm1 flipped_bw.txt""	6.29711	""R""	0.61386	0	0	0.51784	0.00666	-0.00985	-0.0166	-0.01122	0.01402	0.00754	0.01	0.02005	0.00509	-0.00086	0.01589	0.00411	0.00178	0.01032	0.00134	-0.00493	-0.00015	0.0032	-0.00539	0.00186	0.0024	0.00406	-0.00477	0.00096	0.00032	0.00036	0.00051	-0.00116	0.00132	0.00062	0.00005	0.00083	0.00082	-0.0002	-0.00069	0.00041	0.00013	0.00068	-0.00012	-0.00048	-0.00046	-0.00051	0.00002	0.00101	0.00035	0.00022	-0.00045	0.00008	-0.00046	-0.00017	0.00022	-0.00068	-0.00003	0.00004	-0.00011	0.00025	-0.00016	-0.00022	-0.00042	0.00028	-0.00006	0.00009	0.00003	-0.00034	-0.00009	-0.00024	0.00038	-0.00017	0.00024	0.00013	-0.00003	-0.00005	-0.00002	-0.0001	-0.00011	0.0001	0.0002	0.00009	0	0.00001	-0.00006	-0.00017	0.00005	-0.00014	0.00015	-0.00004	-0.00016	-0.00006	0.00003	-0.00012	0.00003	0.00011	0.00008	0.00011	0.00029	0.00012	-0.00001	0.00007	0.00025	-0.0001	0.00006	0.00013	-0.00021	-0.00009	0.00002	0.0001	-0.00013	0.00005	0.00002	0.00004	0.00002	0.00008	0.00006	0.00008	0.00003	-0.00003	0.00005	0.00001	-0.00006	-0.00003	-0.00003	0.00006	0.00003	0.00006	0.00005	0.00001	0.00004	-0.00006	-0.00001	0.00006	-0.00006	-0.00005	0.00006	0.00006	0.00003	0.00008	0.00002	0.00002	0.00003	-0.00003	-0.00005	0.00002	-0.00009	0.00004	0.00001	0	-0.00006	0.00001	-0.00006	0	0.00001	-0.00001	0.00003	0.00005	0.0001	0.00004	-0.00004	-0.00003	-0.00002	0.00001	0.00003	0.00007	-0.00007	-0.00011	-0.00003	-0.00007	-0.00007	-0.00005	0.00001	-0.00001	-0.00005	0.00012	0.00003	-0.00005	0.00008	-0.00001	-0.00001	0.00001	0.00007	-0.00007	0.00003	0	0.00002	0	0.00002	0.00002	-0.00003	-0.00001	0.00001	0.00001	-0.00003	0.00001	0.00002	-0.00003	-0.00003	0.00003"
"41	""IT Italy 1 lldm1_bw.txt""	6.34843	""R""	0.63211	0	0	0.50166	-0.00809	0.00272	0.00076	0.00792	0.01759	0.00587	0.00819	0.02486	-0.00286	0.00168	-0.00018	-0.00724	-0.00191	0.00402	-0.00501	-0.00013	0.00076	0.00008	-0.00227	0.00006	-0.00069	0.0013	0.00068	-0.00157	-0.0001	-0.00138	-0.0004	0.00068	-0.00092	0.00091	-0.00075	0.00104	-0.00122	-0.00034	0.00103	0.00098	-0.00136	0.00081	0.00036	0.00019	-0.00143	0.00036	0.00003	-0.00011	-0.00113	0.00087	-0.00022	-0.00029	-0.0012	0.00047	-0.00003	0.00026	-0.00083	0.00082	0.00033	0.00025	-0.00086	0.00054	0.00035	-0.00025	-0.00059	0.00087	0.00014	-0.00027	-0.00044	0.00053	-0.00006	-0.00014	-0.00027	0.00067	-0.00018	0	-0.00016	0.00041	0.0001	-0.00001	-0.00004	0.0004	0.00005	-0.00019	0.00002	0.00031	0.00003	-0.00017	0.00022	0.00023	-0.00009	-0.00017	0.00016	0.00021	0.00006	0.00003	0.00034	0.00009	0.00005	-0.00004	0.00014	0.00004	-0.00015	0.00003	0.00032	0.00009	0.00007	0.00001	0.00016	-0.00009	0.00003	-0.00005	0.00026	0.00001	-0.00005	0.00006	0.00018	-0.00016	-0.00001	-0.00003	0.0002	-0.00014	-0.00012	-0.00002	0.00011	-0.00019	0.00005	0.0001	0.00011	-0.00025	0.00001	0.00007	0.00001	-0.00021	-0.00002	0.00001	-0.00002	-0.00018	0.00011	0.00003	-0.00006	-0.00021	0.00002	0.00002	-0.00007	-0.00009	0.00001	-0.00001	-0.00008	-0.00015	0.00007	-0.00003	-0.00011	-0.00003	0.00007	0.00001	-0.00011	-0.00012	-0.00004	0.00002	-0.00007	0	-0.00006	-0.0001	-0.00012	-0.00006	0.00008	-0.00005	-0.00004	0	0.00002	0	-0.00011	0.00003	-0.00001	0	-0.00005	0.00005	-0.00002	-0.00001	-0.00006	0.00006	-0.00002	-0.00006	-0.00003	0.00006	-0.00002	-0.00001	0.00001	0.00009	0	-0.00003	-0.00002	0.00004	-0.00007	0.00001	0.00001	0.00006	-0.00008	0.00005"
"42	""IT Italy 2 lrdm1 flipped_bw.txt""	6.67546	""R""	0.60685	0	0	0.52394	0.00141	-0.00744	-0.00961	-0.00026	0.01348	0.00812	0.01032	0.01378	0.00039	-0.0015	0.00882	0.00117	0.00095	0.00688	-0.0043	-0.00074	-0.00199	-0.00013	-0.00362	0.00225	0.00189	0.00221	-0.00051	-0.00118	-0.00285	-0.00079	0.00166	0.00054	0.001	0.00035	-0.0013	0.0016	-0.00231	0.00057	0.00047	-0.00056	-0.00026	-0.0003	0.00002	-0.00022	-0.00106	0.00048	-0.00023	-0.00023	-0.00009	-0.00018	-0.00011	-0.00003	-0.00028	-0.00011	-0.00031	-0.00079	0.00009	-0.00018	-0.00011	-0.00016	0.00001	-0.00033	0.00022	0.00032	0.0003	0.00011	0.00038	-0.00009	0.00002	-0.0002	0.00002	-0.00039	0.00026	0.00007	-0.00024	0.00018	0.00019	-0.00012	0.00003	0.00008	0.0001	-0.00007	-0.00004	0.00011	0.00009	-0.00016	-0.00002	0.00012	0.00001	-0.00002	0.00015	-0.00004	-0.00003	-0.0001	0	0	-0.00007	0.00005	-0.0001	0.00018	-0.00004	0.00002	0.00012	0.00001	-0.00009	0.00003	0.00003	-0.0001	0.00004	0.00003	-0.0001	-0.00006	-0.00002	-0.00001	-0.00004	-0.00002	0.00007	-0.00005	-0.00005	-0.00004	-0.00002	-0.00006	-0.00002	0.00001	0.00001	-0.00002	0.00011	0.0001	-0.00003	0.00005	0.00017	-0.00004	-0.00001	0.00007	-0.00001	-0.00005	-0.00004	0.00013	-0.00004	0.00006	0.00003	0.00005	-0.00002	0.00001	0.00001	0.00008	-0.00004	-0.00009	0.00002	-0.00004	-0.00007	0.00003	0.00006	0.00003	0.00001	0	0	-0.00004	0.00002	0.00001	0.00002	0.00001	-0.00002	0.00003	-0.00003	-0.00003	-0.00001	0.00001	0	0.00001	0.00001	-0.00003	0	-0.00001	0.00003	-0.00002	0	0.00004	0.00003	0.00001	0.00003	0.00002	0.00002	-0.00002	-0.00001	0.00006	-0.00001	-0.00001	0.00003	0	-0.00003	0.00003	0.00003	0.00004	-0.00004	-0.00005	0	-0.00003	-0.00001	0.00002"
"43	""Kebara 1 lldm1 O_bw.txt""	7.52253	""N""	0.60663	0	0	0.52434	-0.00611	-0.00301	-0.00642	0.00929	0.00751	0.00842	0.01066	0.01941	-0.00599	-0.00112	0.00377	0.00076	-0.0015	0.00644	-0.00416	-0.00614	-0.00415	-0.00009	-0.0018	-0.00034	0.00178	0.00242	0.00025	0.00022	-0.00309	-0.00063	0.00028	0.00083	0.00067	0.00108	-0.00072	0.00089	-0.00216	-0.0006	0.00001	-0.00113	0.00058	0.00072	0.0003	-0.00087	-0.00083	-0.00045	0.00015	-0.00029	0.00077	0.0011	0.0002	0.00058	-0.00009	-0.00053	0.00012	-0.00048	0.00033	0.00085	-0.00025	0.00015	0.00027	-0.00065	-0.00003	-0.00006	-0.00032	0.00029	-0.00051	0.00072	0.00034	-0.00052	0.00032	-0.00012	-0.0006	-0.0004	-0.00052	-0.00024	0.00038	-0.00007	0.00036	0.00005	-0.00028	-0.00038	0.00028	-0.00017	0.00028	0.00017	0.00006	0.0001	-0.00003	-0.00021	-0.00013	-0.00016	0.00006	0.00013	-0.00006	0.00021	0.00009	-0.00018	0.00007	0.00003	-0.00011	0.00009	0.00003	0.00005	0.00011	-0.00021	-0.00008	-0.0001	-0.00012	0.00006	-0.00009	0.00002	0.00018	-0.00017	0.00008	-0.00003	-0.00005	-0.00003	-0.00011	-0.00007	0.00009	-0.00002	0.0001	0.00006	-0.00002	-0.00008	-0.00004	0.00001	-0.00002	0.00014	0.00013	0.00009	-0.00003	0.00004	0.00013	0	-0.00009	0.00012	-0.0001	0.00003	0.00005	0.00011	-0.00006	-0.00013	-0.00008	0.00006	0.00003	0.00001	0.00004	0.00006	-0.00001	0.00011	-0.00004	0.00005	-0.00002	-0.00001	-0.00005	0.00002	0.00001	-0.00001	-0.00001	-0.00003	-0.00008	-0.00001	-0.00001	-0.00001	-0.00002	-0.00006	0.00004	-0.00007	0.00001	-0.00006	0.00002	-0.00003	0.00004	0.00002	0.00008	-0.00004	0.00003	-0.00001	0	-0.00002	0	0.00003	0.00003	0.00001	0.00002	0.00003	-0.00006	-0.00002	-0.00003	0.00003	-0.00004	0.00002	0	0.00004	-0.00005	0.00001	0.00005	-0.00001"
"44	""Kostenki 15  lldm1 corrected_bw.txt""	7.1141	""U""	0.63055	0	0	0.50285	-0.00734	-0.00989	-0.02779	0.00747	0.01485	0.00316	0.00219	0.03338	-0.00578	-0.00509	0.01519	0.00018	-0.00419	0.00379	0.00209	-0.0042	-0.00355	0.00087	-0.00361	-0.00071	-0.00198	0.00379	-0.0006	0.00037	-0.00145	0.00034	0.00126	-0.00067	-0.00064	0.00126	-0.00169	-0.00069	-0.00012	-0.00039	-0.00148	-0.00089	-0.00041	0.00001	-0.00044	0.00017	0.00026	-0.00028	0.00119	0.00089	0.00023	-0.00015	0.00058	-0.00052	-0.00007	0	-0.00004	-0.00046	-0.00001	-0.00005	-0.00028	0.00005	-0.00005	0.00003	-0.0004	0.00036	0.00011	0.00022	0.00048	0.00023	-0.00016	-0.00007	0.0005	0.00004	-0.00001	0.00016	-0.00027	-0.00022	-0.0001	0.00011	-0.00032	-0.00026	-0.00018	-0.00002	-0.0001	0.00041	0.00011	-0.00003	0.00002	-0.00005	-0.00019	-0.00002	0	-0.00019	0.00003	-0.00006	0.00004	0.00023	-0.00003	0.00001	0.00016	-0.00012	0.00005	0.00009	0.00014	-0.00028	0.0001	0.00001	-0.00017	-0.00007	0.00003	0.00009	-0.00009	0.00024	0.00003	0.00003	0.00013	0.00014	0	0.00006	-0.00002	-0.00006	-0.00001	0.00003	-0.00002	-0.00001	-0.00005	-0.00002	-0.00001	0.00006	-0.00001	0.00003	-0.00003	-0.00001	0.00001	0.00003	0.00002	-0.00012	0.00001	-0.00004	-0.00002	0.00002	0.00007	0	-0.00001	0	0.00002	-0.00003	0	-0.00006	0.00007	0.00001	0.00002	0	0.00002	-0.00005	0	0.00008	0.00001	0.00003	0.00002	0.00005	-0.00002	-0.00002	0.00001	-0.00003	-0.00005	0	-0.00006	0.00004	0.00002	0	0.00003	-0.00003	-0.00003	0	0.00004	-0.00005	0.00001	0.00001	-0.00002	0.00004	-0.00002	0	-0.00004	-0.00001	-0.00003	0.00001	-0.00002	0.00003	-0.00001	0	0.00003	0.00003	-0.00001	0.00001	0.00004	-0.00003	-0.00001	0	0.00001	-0.00003"
