"	""ID""	""Area""	""Group""	""a1""	""b1""	""c1""	""d1""	""a2""	""b2""	""c2""	""d2""	""a3""	""b3""	""c3""	""d3""	""a4""	""b4""	""c4""	""d4""	""a5""	""b5""	""c5""	""d5""	""a6""	""b6""	""c6""	""d6""	""a7""	""b7""	""c7""	""d7""	""a8""	""b8""	""c8""	""d8""	""a9""	""b9""	""c9""	""d9""	""a10""	""b10""	""c10""	""d10""	""a11""	""b11""	""c11""	""d11""	""a12""	""b12""	""c12""	""d12""	""a13""	""b13""	""c13""	""d13""	""a14""	""b14""	""c14""	""d14""	""a15""	""b15""	""c15""	""d15""	""a16""	""b16""	""c16""	""d16""	""a17""	""b17""	""c17""	""d17""	""a18""	""b18""	""c18""	""d18""	""a19""	""b19""	""c19""	""d19""	""a20""	""b20""	""c20""	""d20""	""a21""	""b21""	""c21""	""d21""	""a22""	""b22""	""c22""	""d22""	""a23""	""b23""	""c23""	""d23""	""a24""	""b24""	""c24""	""d24""	""a25""	""b25""	""c25""	""d25""	""a26""	""b26""	""c26""	""d26""	""a27""	""b27""	""c27""	""d27""	""a28""	""b28""	""c28""	""d28""	""a29""	""b29""	""c29""	""d29""	""a30""	""b30""	""c30""	""d30""	""a31""	""b31""	""c31""	""d31""	""a32""	""b32""	""c32""	""d32""	""a33""	""b33""	""c33""	""d33""	""a34""	""b34""	""c34""	""d34""	""a35""	""b35""	""c35""	""d35""	""a36""	""b36""	""c36""	""d36""	""a37""	""b37""	""c37""	""d37""	""a38""	""b38""	""c38""	""d38""	""a39""	""b39""	""c39""	""d39""	""a40""	""b40""	""c40""	""d40""	""a41""	""b41""	""c41""	""d41""	""a42""	""b42""	""c42""	""d42""	""a43""	""b43""	""c43""	""d43""	""a44""	""b44""	""c44""	""d44""	""a45""	""b45""	""c45""	""d45""	""a46""	""b46""	""c46""	""d46""	""a47""	""b47""	""c47""	""d47""	""a48""	""b48""	""c48""	""d48""	""a49""	""b49""	""c49""	""d49""	""a50""	""b50""	""c50""	""d50"""
"33	""IN 1910-9-5-1 lrdm2 flipped_bw.txt""	8.13821	""R""	0.59777	0	0	0.53204	0.0051	0.00215	0.00187	-0.00482	0.0059	0.00331	0.00273	0.01744	0.00409	-0.00278	-0.00518	0.00014	-0.00279	0.00091	-0.00361	-0.0028	-0.00197	-0.00304	0.00254	0.00585	-0.00011	0.00046	0.00242	-0.00051	-0.00359	-0.00043	0.00028	-0.00215	0.00061	0.00071	-0.00116	-0.00002	-0.00096	0.00012	0.00006	-0.00081	0.00035	-0.00075	-0.00073	0.00004	-0.0004	0.00028	0.00021	0.00055	-0.00018	-0.00055	0.00071	0.00033	-0.00022	0.00051	0.0001	-0.00045	-0.00027	0.00002	-0.00007	-0.00001	0.00014	0.00057	0.00031	-0.00005	0.00012	-0.00002	-0.00007	-0.00047	0.00011	0.0003	-0.00046	-0.00006	0.00033	-0.00009	-0.00013	0.00016	0.00004	0.00001	-0.00001	0.00005	0.00016	-0.00021	-0.00007	0.00016	-0.0002	0.00003	0.00005	0.00026	0	-0.00015	0.00019	0.00007	-0.00024	0.00008	0.00003	-0.00014	-0.00004	-0.00009	-0.00008	-0.00004	-0.00006	0.00008	0	-0.0001	0.00005	-0.00005	0.00008	-0.0001	0.00004	-0.00002	-0.00012	-0.00001	-0.00003	0.00006	0.00005	0.00017	0.00007	0	0.00013	-0.00001	-0.00006	0.00005	-0.00007	-0.00007	0.00004	0.00005	-0.00002	0.00001	0.00004	0.00003	0.00006	-0.00007	0.00001	0.00001	-0.00006	0.00002	0.00004	-0.00001	-0.00008	0.00005	-0.00001	0.00001	0.00002	0	0	-0.00008	-0.00004	0.00004	-0.00003	-0.00002	-0.00003	0.00006	-0.00003	-0.00005	0.00008	-0.00002	-0.00001	-0.00002	0.00002	-0.00006	0	-0.00002	-0.00002	-0.00002	0.00003	0.00002	0.00003	-0.00002	0.00002	-0.00003	-0.00003	0.00001	0.00001	0.00001	-0.00004	0.00005	0.00001	-0.00003	0.00005	0	-0.00002	0.00001	0.00001	-0.00001	0.00002	0	0	0.00001	0.00001	0.00002	0.00002	-0.00004	0.00003	0	-0.00002	-0.00002	0.00003	0.00001	-0.00003	0.00001"
"34	""IN 1949-12-7-19 lrdm2 flipped_bw.txt""	8.05118	""R""	0.59054	0	0	0.53886	0.00818	-0.00001	0.00152	-0.00857	0.00177	0.00255	0.00302	0.01764	0.00433	-0.00216	-0.00394	0.00396	-0.00441	-0.0004	-0.00426	-0.00443	-0.00025	-0.00132	0.00276	0.00118	-0.00049	-0.0009	0.00247	-0.00007	-0.00058	0.00097	0.0001	-0.00074	-0.00022	0.00028	-0.00054	0.00013	0.00047	0.00042	-0.00046	-0.00058	0.00012	0.00011	0.00008	-0.00045	-0.00019	-0.00004	-0.00014	0.00117	-0.00005	0.00021	0.00013	0.00053	-0.00034	0.00014	0.00038	-0.00072	-0.00012	-0.00004	-0.00036	-0.00022	0.00012	0.00027	-0.00018	0.0001	0.00003	-0.00003	0.00034	-0.0001	0.00015	0.00008	0.00001	-0.00013	0.0001	0.00009	-0.00015	0	0.00005	0.00004	-0.00006	0.00021	-0.00004	-0.00012	-0.00016	0.0002	-0.00007	-0.00012	-0.00012	-0.00004	-0.0001	-0.00012	0.00014	-0.00012	0.00005	-0.00005	0.00014	-0.00009	-0.00005	-0.00001	-0.00001	0.00002	0.00003	-0.00001	-0.00004	0.00008	-0.0001	-0.00001	0.00002	0.00009	-0.00004	0.00001	0.00004	0.00003	-0.00006	0	-0.00004	-0.00012	-0.00003	0.00001	-0.00003	-0.00009	0.00009	0.00002	0.00007	-0.00005	-0.00001	-0.00001	0.00001	0.00008	0.00006	0.00004	-0.00005	0.00007	-0.00002	-0.00001	-0.00001	-0.00007	0.00004	-0.00001	-0.00001	-0.00004	0.00004	0.00004	0.00005	0.00001	0.00002	-0.00002	0	0.00004	0.00003	0.00002	-0.00004	0.00001	0.00003	-0.00003	-0.00001	-0.00005	0.00003	-0.00005	-0.00005	-0.00001	0.00001	0	0.00001	0.00005	0.00005	-0.00011	-0.00002	-0.00002	0	0.00002	0.00003	-0.00001	0.00001	-0.00006	0.00007	0.00008	-0.00002	0.00004	-0.00002	0.00004	-0.00004	0.00001	0.00001	-0.00003	0	0.00002	0.00002	-0.00005	0.00001	0.00004	0	-0.00002	0.00003	0.00002	-0.00003	0	0.00003	0.00001	-0.00001	-0.00001"
"35	""IN 58-6-24-154 lrdm2 corrected flipped_bw.txt""	8.91526	""R""	0.58974	0	0	0.53959	0.00253	-0.00011	0.0017	-0.003	0.00408	0.00614	0.00715	0.0144	-0.00188	-0.00518	-0.00726	0.0053	-0.00418	0.00373	-0.00413	-0.00137	-0.00245	-0.00356	0.00519	-0.00244	-0.00135	-0.00079	-0.00121	-0.00107	-0.00145	-0.0004	-0.00139	0.00139	-0.00072	-0.00089	0.00105	0.00023	-0.00078	-0.00013	0.00123	-0.00102	-0.00037	0.00064	0.00087	-0.00051	0.00042	-0.00002	-0.00083	-0.00038	-0.00003	0.00003	-0.00139	0.00023	0.00047	-0.00078	-0.0002	0.00025	-0.00011	-0.00033	0.00056	-0.00018	-0.00011	-0.00031	0.00057	0.00045	0.00012	0.00019	0.00026	0	-0.00014	-0.00013	-0.00037	-0.00026	0.00018	0.00001	-0.00045	-0.0001	0.00016	-0.00016	0.0002	-0.00012	0	-0.00008	0.00028	0.00021	0.00005	-0.00001	0.00007	0.00027	-0.00007	0.00013	0.00004	-0.00013	0.00003	-0.00007	-0.00016	-0.0002	0	0.00006	-0.00014	0.00001	0.00016	-0.00011	0.00005	-0.00003	-0.00006	-0.00009	-0.00001	0.00007	0.0001	-0.00009	0	0.00015	-0.00007	-0.00006	0.00004	-0.00007	0.00001	-0.0001	-0.00005	-0.00002	0.00001	0.00006	0.00008	-0.00004	0.00007	-0.00006	0.00006	-0.00007	0.00005	0.00005	-0.00005	0.00004	0.00004	0.00004	0.00009	0.00012	0.00003	-0.00002	-0.00005	-0.00003	-0.00002	0.0001	-0.00003	-0.00007	0.00009	0	0.00005	-0.00009	0.00006	0.00005	-0.00003	-0.00001	0.0001	0	-0.00003	0.00009	0.00001	0.00001	-0.00003	0.00004	0.00002	-0.00004	-0.00003	-0.00001	-0.00002	0.00001	0.00006	0	-0.00001	-0.00001	0.00005	0.00004	-0.00003	0.00002	-0.00004	0.00002	0	0.00005	0.00003	-0.00006	0	0.00001	0.00002	-0.00007	0.00003	0.00006	-0.00001	0.00002	0.00002	-0.00001	-0.00002	0.00004	0	0.00001	-0.00004	0.00001	-0.00001	-0.00002	-0.00001	0.00001"
"36	""IN 6-8501 lrdm2 flipped corrected_bw.txt""	8.15723	""R""	0.59539	0	0	0.53432	0.00894	-0.00199	-0.00114	-0.01058	0.00706	0.0074	0.0075	0.01601	0.00433	-0.00447	-0.00482	0.00644	-0.00355	0.00349	-0.00573	-0.00066	-0.00145	-0.00118	0.00652	0.00074	-0.00013	0.00173	0.0036	-0.00236	-0.00073	0.00219	-0.00179	-0.0012	0.001	0.00105	-0.00284	0.00027	0.00054	-0.00009	-0.00098	-0.00024	0.00044	-0.00094	0	0.00029	-0.00009	-0.00023	0.00066	0.00081	0.00004	-0.00041	0.00036	0.00008	-0.00004	-0.00008	-0.00027	-0.00057	0.00031	-0.00002	0.00016	-0.00039	0.00004	-0.00005	0.00021	0.00016	0.00013	0.00004	-0.00007	0.00039	-0.00011	0.0001	0.00002	0.00014	-0.00009	0.00013	0	0	0.00007	0.00014	-0.00001	-0.00034	0.00019	0.00021	0.0002	-0.00038	0.00011	0.00004	0.00002	0.00025	0.00021	0.00016	-0.00028	0.00031	-0.00015	-0.00006	-0.00022	0.00005	0.00004	0.00004	0.00013	-0.00013	-0.00004	-0.00001	0.00025	-0.00008	-0.00006	0.00017	0.00003	0.00021	0.00004	-0.00004	-0.0002	-0.00002	-0.00008	0.00005	-0.00011	-0.00018	0.00008	-0.00007	0.0001	-0.00001	0.00001	0.00005	0.00003	0.00005	0	-0.00003	-0.00005	0.00006	0.00005	-0.00005	-0.00007	-0.00009	0.00001	-0.00007	0.00001	0.00001	0.00008	-0.00003	0.00006	0.00003	-0.00005	-0.00008	-0.00004	0.00001	-0.00002	0.00004	0.00004	0.00004	0.00001	-0.00002	0.00011	-0.00001	-0.00001	0.00013	0.00004	0	-0.00002	0.00001	-0.00008	0.00003	-0.00002	0.00006	-0.00008	-0.00003	0.00001	-0.00002	0.00004	-0.00005	-0.00001	0.00001	-0.00002	0	0.00004	-0.00001	-0.00006	0.00001	0	0.00001	0.00004	0.00001	0.00002	-0.00004	0.00005	0.00004	0.00002	0.00001	-0.00003	-0.00003	-0.00005	-0.00001	-0.00001	0	0.00006	-0.00002	0.00001	-0.00003	-0.00001	0.00002	0.00001	-0.00003"
"37	""IN 6-8639 lrdm2 corrected_bw.txt""	8.17105	""R""	-0.59508	0	0	-0.53453	0.00272	-0.00071	-0.00231	-0.00253	-0.00617	-0.00725	-0.00861	-0.01603	-0.00104	-0.00307	-0.00242	0.00341	0.00338	-0.00475	0.00502	0.00123	-0.0026	0.00035	0.00562	0.00059	-0.00016	-0.00142	-0.00138	0.0027	-0.00134	0.00135	-0.00351	-0.00147	-0.00118	-0.0005	0.00123	-0.00055	-0.00003	-0.00089	0.00039	0.00009	0.00039	0.00011	-0.00004	-0.00128	-0.00039	-0.00039	0.00049	0.00049	0.00071	-0.00037	-0.00072	0.00087	-0.00023	-0.00023	-0.00025	-0.0004	0.00032	-0.0006	0.00022	-0.0004	0.00002	-0.0004	-0.0001	-0.00018	0.00024	0.0001	0.00069	0.0003	0.00006	-0.00006	0.0004	0.00032	-0.00008	0.0003	-0.00048	0.00012	-0.00004	0.00003	-0.00022	-0.00016	0.00006	0.00002	-0.00003	-0.0002	0.00021	0.00002	0.00017	-0.00018	0.00022	-0.00003	0.00011	0	0.00001	0.00006	-0.0001	0.00038	0.00016	-0.00009	-0.0002	-0.00001	-0.00013	0.00002	0.00004	-0.00013	0.00013	-0.00009	0.00014	0.00002	0	0.00006	-0.00002	-0.00008	0.00001	0.00008	0.00004	0.0001	0.00001	-0.00003	-0.00012	0.00011	0.00008	0.00004	-0.00007	-0.00014	0.00006	-0.00005	0.0001	-0.00016	0.00006	-0.00005	-0.00006	0.0001	0.0001	0.00005	0.00001	0.00006	-0.00003	-0.00001	0.0001	0.00002	-0.00001	0.00005	-0.00001	0.00006	-0.00001	-0.00001	-0.00009	-0.00008	0	0.00006	-0.00001	-0.00006	0.00003	0	0.00007	0.00003	0.00005	0.00003	0	0.00001	-0.00003	0.00002	-0.00005	0.00005	-0.00001	0	-0.00003	0.00002	0.00001	-0.00005	-0.00002	-0.00009	0.00001	0.00001	0.00004	-0.00001	0.00005	-0.00002	0.00005	0.00002	0	0.00003	-0.00003	0.00002	-0.00001	0.00003	-0.00001	0.00004	0.00001	0.00001	0.00002	-0.00004	-0.00001	0.00004	0.00004	-0.00004	0.00002	0.00004	0.00002	0.00004"
"38	""IN 6-8640 lldm2_bw.txt""	8.22097	""R""	-0.60625	0	0	-0.52424	0.00615	-0.00108	0.0024	-0.00629	-0.00862	-0.00677	-0.0074	-0.02206	0.00068	-0.00441	-0.00727	0.00633	0.00352	-0.00482	0.00364	0.00331	-0.00236	-0.00133	0.00794	-0.00097	-0.00086	-0.00217	-0.0006	0.00201	-0.00167	0.00171	-0.00291	0.00039	-0.00171	-0.00052	0.00136	-0.00028	-0.00063	-0.00024	-0.0001	-0.00066	-0.00033	-0.00026	-0.00077	-0.00082	0.00025	0	0.00056	-0.00039	0.00002	-0.00033	0.0006	0.0004	0.00055	-0.00033	-0.00064	0.00005	-0.00014	-0.00019	-0.00027	-0.00014	0.00015	-0.00035	0.00044	0.00025	-0.00008	-0.00017	0.00027	0.00004	0.00006	0.00011	0.00019	-0.00018	-0.00032	0.00006	-0.00004	0.00023	0.00007	0.00012	-0.0002	0.00011	-0.00015	0.00003	-0.00001	-0.00034	0.00008	0.00013	0.00013	-0.00016	0.00007	0.00012	0.00008	0.00006	0.00016	0.00032	0.00021	0.00004	0.00018	0.00015	0.00004	-0.00017	0.00002	0.00013	-0.00041	0.00008	0.00018	0.00009	-0.00012	0.00012	-0.00007	0.00003	0.00017	0.00004	0.00011	-0.00004	-0.00004	-0.00003	-0.00003	0.00007	-0.00003	-0.00014	0.00003	-0.00004	0.00004	0.00007	0.00004	0	-0.00011	0.00005	-0.00004	-0.0001	-0.0001	0.00002	0.00002	-0.00004	0.00004	-0.00001	-0.00009	-0.00005	0.0001	0.00004	0.00008	0.00003	0.00006	-0.00007	-0.0001	0.00003	0	-0.00003	0.00005	0.00006	-0.00005	0.00007	-0.00001	0.00004	0	-0.00005	0.00003	0.00005	0.00007	0	0.00003	0	-0.00003	-0.00002	-0.00001	0.00003	-0.00008	0.00002	0	-0.00001	0.00002	0.00006	-0.00001	-0.00004	-0.00002	-0.00003	-0.00003	0.00003	0.00003	-0.00003	-0.00002	-0.00001	0.00004	0.00002	-0.00001	0.00007	0.00002	0.00001	0	0	-0.00001	-0.00004	-0.00002	0.00002	-0.00006	0.00001	-0.00001	0.00003	0.00002	0.00005"
"39	""IN 6-8641 lldm2 corrected_bw.txt""	8.22293	""R""	0.59388	0	0	0.53566	0.00052	-0.00033	-0.00358	-0.0008	0.0053	0.00364	0.00409	0.01572	-0.00014	-0.00509	-0.00463	0.0008	-0.00524	0.00092	-0.00428	0.00112	-0.00239	-0.00095	0.00662	0.0021	-0.00124	0.00045	0.00281	-0.00415	-0.00203	0.00205	-0.00164	-0.00117	0.00139	0.00099	-0.00118	0.00028	-0.00013	-0.0002	-0.00121	-0.0006	0.00028	-0.00009	-0.00013	0.00092	0.00019	-0.00053	0.00071	0.00004	-0.0002	0.00037	0.00044	-0.00022	0.0002	-0.00027	-0.00024	0.00025	0.00011	0.00025	-0.00025	-0.00017	-0.00001	-0.00033	0.00008	-0.00005	-0.00004	-0.00016	-0.00018	0.00026	-0.00006	-0.00004	0.00021	0	0.00004	-0.00009	0.00019	-0.00031	0.00008	-0.00009	-0.00022	-0.00008	0.00024	0.00014	0.00005	-0.00003	0.00006	-0.00023	-0.00002	0.00007	0.00007	0.00009	-0.00009	0.00017	-0.00009	0	0.00023	0.0001	-0.00017	0.00006	0.00002	0.00017	0.00002	0.00012	-0.00006	-0.00015	-0.00014	0.00004	-0.00001	-0.00019	0.00012	0.00007	0.00001	0.00002	0.00004	0.00004	0.00001	-0.00007	0.00004	0.00004	-0.00004	0.00006	0.00007	0.00007	0.00001	0.00005	0.00004	-0.00007	-0.00008	-0.00005	0	0.00003	-0.00003	0.00003	0.00003	-0.00013	0	0.00005	-0.00005	-0.00002	-0.00001	0	0.00002	-0.00006	0.00008	-0.00003	-0.00006	0	0.00001	0	0.00004	0.00003	0.00003	0.00001	-0.00002	0.00004	0.00005	-0.00006	-0.00002	0.00003	-0.00004	0.00004	0.00003	0.00006	-0.00002	0	-0.00002	0.00001	0.00001	-0.00001	0	0	-0.00004	0.00004	0	0.00003	0.00002	0	-0.00003	0.00001	0.00005	0.00001	0	-0.00001	-0.00004	0.00001	-0.00002	-0.00001	-0.00006	-0.00004	-0.00002	-0.00005	-0.00002	0.00001	0.00002	-0.00003	0.00003	-0.00002	0.00001	-0.00004	0.00002	-0.00004"
"40	""IN 6-8642 lrdm2 flipped_bw.txt""	8.27945	""R""	0.60533	0	0	0.52533	0.00099	-0.00127	-0.00269	-0.00342	0.00631	0.00516	0.00528	0.02048	0.00305	-0.00229	0.00002	-0.00177	-0.00424	0.00811	0.00432	-0.00271	-0.00013	0.00184	0.00561	0.00348	-0.00074	0.0062	-0.00279	-0.00232	-0.00205	0.00171	-0.00407	-0.00022	-0.00051	0.00195	-0.00156	0.002	-0.00174	-0.00071	0.00013	0.00026	-0.00108	0.00083	0.00082	-0.00089	-0.00094	0.00017	0.00097	-0.00104	-0.00013	0.00081	-0.00056	-0.00108	-0.00011	0.00014	-0.00082	-0.00027	-0.00022	0.00007	-0.00006	0.00065	0.00016	0.00009	0.00075	-0.00021	-0.0004	0.00011	0.00042	-0.00027	0.00027	0.00055	0.00035	0.00008	-0.00013	0.00016	-0.00016	-0.00018	-0.00023	0.00037	-0.00038	0.00047	-0.00026	0.00024	0.00023	0.00028	-0.00032	0.00013	-0.00004	-0.00026	-0.00017	0.00019	-0.00017	-0.00016	-0.00001	-0.00002	-0.00005	-0.00021	-0.0001	-0.00006	-0.0001	-0.00003	-0.00006	0.00009	0.00015	0.00011	-0.00009	-0.00006	0.00006	-0.0001	-0.00007	0.00018	0.00001	-0.00006	-0.00003	-0.00001	0.00015	0.00004	-0.00003	0.00009	-0.00001	-0.00004	-0.00007	0.00012	0.00006	-0.00001	-0.00001	0.00011	0.00003	0.00001	-0.00001	0.00011	-0.00008	0.00004	-0.00001	0.00007	-0.00002	0.00004	0.00002	-0.00002	-0.00005	-0.00006	-0.00003	0.00003	-0.00003	-0.00002	0.00005	-0.00001	0.00004	0	0.00001	-0.00005	-0.00009	-0.00005	0.00003	-0.00002	-0.00005	0.00002	0.00002	-0.00003	0.0001	0	0.00003	-0.00001	0.00005	-0.00004	0.00003	0.00006	0.00003	0	0.00005	0.00002	0	0.00001	0.00006	0.00005	-0.00001	-0.00003	0.00004	0.00001	0	0	0.00005	0.00001	-0.00003	0.00001	0.00005	0	-0.00004	-0.00001	0.00002	0.00001	0.00003	0.00004	0.00004	0	0.00004	0.00001	-0.00001	0.00004	0.00002	0"
"41	""IN 6-9093 lldm2_bw.txt""	7.81022	""R""	0.59898	0	0	0.53092	0.00793	-0.00275	-0.00268	-0.00972	0.01026	0.00412	0.0046	0.0139	0.00215	-0.00363	-0.00171	0.00746	-0.00136	0.0012	-0.00432	0.00035	-0.00167	-0.00092	0.00343	-0.00128	0.0008	-0.00042	0.00163	-0.00256	0.00001	0.00052	-0.00145	-0.00069	0.00075	-0.00018	-0.00096	0.00159	0.00036	-0.00046	0.00015	0.00021	-0.00008	-0.00063	0.00002	-0.00024	-0.00012	0.00016	0.00058	0.00029	0.00032	-0.00007	0.00056	-0.00031	-0.00004	0.00037	-0.00017	-0.00033	0.0002	-0.00009	-0.00042	0.00029	0.00004	0.00003	-0.00025	0.00017	-0.00018	-0.00009	0.00024	0.00022	-0.00002	-0.00007	0.00013	-0.00004	-0.00009	0.00001	-0.00013	-0.00025	-0.00009	-0.00008	-0.00011	0.00009	0.00009	-0.0001	0.00005	-0.00001	-0.0001	-0.00003	0.00012	-0.0001	-0.00002	-0.00004	-0.00001	0.00015	0	0.00003	-0.00006	0.00003	-0.00006	-0.00008	-0.00003	-0.0001	0.00009	-0.00003	0.00001	-0.00015	0.00004	-0.00006	0.00004	-0.00003	0.00005	0.00002	0.00001	0.00015	0.00001	-0.00007	-0.00004	0.00006	0.00002	0.00002	-0.00002	-0.00008	-0.00004	-0.00003	0.00007	0	0.00006	-0.00003	-0.00004	0.00003	-0.00006	0.00003	0.00002	0.00001	-0.00001	-0.00003	0.00005	0.00004	0.00002	-0.00001	-0.00008	-0.00008	-0.00004	-0.00001	-0.00003	-0.00001	0.00008	-0.00008	0.00001	0	-0.00003	0.00002	0.00004	-0.00001	0.00003	-0.00009	-0.00003	0.00003	0.00002	-0.00001	-0.00004	-0.00004	0.00001	-0.00006	0.00004	0.00001	-0.00001	-0.00003	0	0.00007	0	-0.00005	-0.00003	-0.00002	-0.00001	-0.00003	0.00001	-0.00006	0.00003	-0.00004	0.00004	0	0.00001	-0.00004	-0.00003	0.00002	0.00001	-0.00002	-0.00002	0	0	-0.00004	0.00004	-0.00001	0.00002	-0.00002	0.00001	-0.00001	0	0.00001	0	0.00001"
"42	""IN 6-9773 lrdm2 flipped_bw.txt""	8.65236	""R""	0.59367	0	0	0.53595	0.00527	-0.00367	-0.00739	-0.00683	0.00375	0.00409	0.00374	0.01712	0.00383	-0.0058	-0.00267	0.00277	-0.00556	0.0003	-0.00465	-0.00004	-0.00173	-0.00149	0.0061	0.00317	-0.0025	-0.00024	0.00321	-0.00212	-0.00246	0.00175	-0.00144	-0.00124	0.00029	0.00069	-0.00143	-0.00143	-0.00032	-0.00049	-0.00183	-0.00117	0.0006	-0.00038	-0.00017	0.00122	-0.00016	-0.00082	0.00124	0.00098	0.00002	-0.00004	0.00034	-0.00028	-0.00028	0.00035	0.00034	-0.00051	0.00038	0.00048	0.0004	-0.00042	0.00013	0.00041	-0.00019	-0.00002	0.00004	0.00022	-0.00065	0.00065	-0.00013	-0.00017	-0.00057	0.00032	-0.00023	0.00008	0.00025	-0.00017	-0.00017	-0.00013	0.00057	-0.00012	-0.00005	0.00037	0.00024	-0.00002	0.00008	0.00024	0.00002	-0.00016	0.00005	0.00011	-0.00038	-0.00012	0.0001	0.00011	-0.00019	0.00005	-0.00004	-0.00014	0.00003	0.00015	0	0.00005	0.00004	0.00012	0	-0.00011	0	-0.00007	0.00013	0.00007	0.00002	-0.00019	0.0001	-0.0001	0.00004	-0.00004	0.00006	0	-0.00004	0.00015	0.00003	-0.00004	0	0.00008	-0.00004	0.00002	0.00004	-0.00002	0.00005	0.00007	0.00006	-0.00007	-0.00003	0.00008	0.00005	0.00001	0.00011	0.0001	0.00005	0.00001	-0.00001	0.00006	-0.00001	-0.00003	0.00009	0.00004	-0.00012	-0.00002	-0.00003	0	-0.00008	0.00001	0.00005	0	0.00004	0.00002	-0.00003	-0.00005	0.00003	0.00004	0.00004	0.00002	-0.00001	0	0	-0.00006	-0.00002	-0.00006	0.00001	0.00001	0.00002	0.00002	0	-0.00006	0.00002	0.00004	-0.00002	0.00004	0	-0.00001	0.00001	0	0.00001	-0.00003	0.00001	0.00006	0.00002	-0.00003	0.00003	0.00003	0.00002	0	0	0.00002	-0.00003	0.00004	-0.00001	0.00004	-0.00001	0.00002"
"43	""Irhoud 3 lldm2 O1 corrected_bw.txt""	8.30357	""E""	-0.59562	0	0	-0.53425	0.00287	-0.00454	-0.00664	-0.00351	-0.00024	0.00188	0.00273	-0.02306	-0.00251	0.00084	0.00723	0.00671	0.00888	0.00382	0.00188	0.0037	-0.0005	0.00168	-0.00383	-0.00576	0.0037	0.00133	-0.00326	0.00122	0.00101	0.00004	0.00083	0.00229	0.00087	-0.00075	0.00082	0.00061	-0.00049	0.00066	0.0007	0.0003	0.00001	0.0003	0.00046	0.00012	0.00049	0.00062	-0.00073	-0.00136	0.00025	0.00032	-0.00012	-0.00049	0.00076	-0.00008	0.00014	0.00057	0.00004	0.00012	-0.00011	0.00031	0.00007	-0.00021	-0.00011	0.00032	-0.0003	0.00003	-0.0001	0.00019	-0.00012	-0.0003	-0.00015	-0.00014	-0.00025	-0.00016	-0.00002	-0.00016	-0.00004	-0.00036	0.00021	0	-0.00017	-0.00025	-0.00011	0.00011	-0.00007	-0.00017	-0.00008	0.00001	-0.00005	0.00001	0.00033	-0.00014	-0.00008	0	0.00017	-0.00001	0.00007	0.00021	-0.00008	-0.00001	0	0.00011	-0.00005	-0.00003	0.00012	0.00023	0.00009	-0.00002	0.00005	0.00005	-0.00004	-0.00005	0.00005	0.00018	-0.00014	0.00003	0.0001	0.00014	0.00014	0	0	0.00008	0.00005	0.00002	0.00005	0.00005	-0.00015	0.00005	-0.00006	-0.00003	-0.00016	0.00007	0.00003	-0.0001	-0.00005	-0.00005	-0.00005	-0.00008	0.00007	-0.00006	0.00001	-0.00014	0.00003	0.00003	0.00002	-0.00001	0.00005	0	-0.00007	-0.00008	0.00001	0.00007	0.00004	0.00004	0	-0.00003	-0.00008	0.00002	0.00008	-0.00008	0.00005	0.00001	-0.00002	-0.00001	-0.00004	0.00005	-0.00004	0.00001	-0.00005	-0.00004	-0.00003	0.00011	-0.00007	0.00006	0.00001	0.00004	-0.00009	-0.00003	0.00002	-0.00006	-0.00005	0.00007	-0.00001	-0.00003	-0.00002	-0.00003	-0.00001	-0.00003	-0.00003	0.00001	-0.00001	0.00003	-0.00004	0	0.00003	0.00004	-0.00002	0	-0.00001	-0.00005"
